Generated Reports
"biopsy; 1. Invasive carcinoma of no special type, grade I (Tubule formation: 2, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 2)."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 2)."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 3, Mitoses: 1)."
"core biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1)."
"biopsy; 1. Invasive carcinoma of no special type, grade I (Tubule formation: 3, Nuclear grade: 1, Mitoses: 1) 2. Ductal carcinoma in situ."
"biopsy; 1. Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1)."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1)."
biopsy; Invasive mucinous adenocarcinoma.
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2)."
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2)."
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 3)."
biopsy; Invasive lobular carcinoma.
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 3)."
"mucosal resection; 1. Invasive urothelial carcinoma, with involvement of subepithelial connective tissue 2. Urothelial carcinoma in situ Note) The specimen includes muscle proper."
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2)."
"biopsy; 1. Invasive carcinoma of no special type, grade I (Tubule formation: 2, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ 3. Microcalcification."
biopsy; 1. Invasive lobular carcinoma 2. Lobular carcinoma in situ.
"biopsy; 1. Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ."
"biopsy; 1. Invasive carcinoma of no special type, grade I (Tubule formation: 2, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ."
"Breast, sono-guided core biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1)."
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2)."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 2)."
"biopsy; Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2)."
"biopsy; 1. Invasive carcinoma of no special type, grade I (Tubule formation: 2, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ 3. Microcalcification."
biopsy; Invasive mucinous adenocarcinoma.
"biopsy; 1. Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2) 2. Microcalcification."
"Breast, sono-guided core biopsy; 1. Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 1) 2. Ductal carcinoma in situ."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 2)."
"biopsy; 1. Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 2) 2. Ductal carcinoma in situ 3. Microcalcification."
"biopsy; Invasive carcinoma of no special type, grade II (Tubule formation: 3, Nuclear grade: 2, Mitoses: 2)."
biopsy; 1. Invasive lobular carcinoma 2. Lobular carcinoma in situ.
"biopsy; 1. Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2) 2. Ductal carcinoma in situ."
"biopsy; 1. Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2) 2. Ductal carcinoma in situ."
"biopsy; 1. Invasive carcinoma of no special type, grade III (Tubule formation: 3, Nuclear grade: 3, Mitoses: 2) 2. Ductal carcinoma in situ."
